x,y,z,t,pos,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP0.5_inph,PRP0.6_inph,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph
553882.4806,5645517.784,26.518,43026.14,0,31.13398235,16.69457786,55.72120368,34.91049649,56.39348424,52.00179961,0.882913425,0.796558379,0.872464714,0.05770407,1.232942597,-2.793941949
553882.5463,5645517.706,26.518,43026.04,0.101982792,31.13398235,16.69457786,55.62120368,34.71049649,56.39348424,51.70179961,0.882913425,0.796558379,0.872464714,0.06770407,1.232942597,-2.773941949
553882.67,5645517.551,26.528,43025.9,0.300292374,30.93398235,16.69457786,55.42120368,34.41049649,55.89348424,51.50179961,0.882913425,0.796558379,0.872464714,0.07770407,1.182942597,-2.723941949
553882.7072,5645517.503,26.538,43025.84,0.361019963,30.93398235,16.69457786,55.12120368,34.41049649,55.89348424,51.20179961,0.882913425,0.796558379,0.872464714,0.07770407,1.182942597,-2.663941949
553882.7911,5645517.394,26.538,43025.73,0.498570716,30.73398235,16.59457786,54.82120368,33.81049649,55.89348424,50.80179961,0.882913425,0.796558379,0.872464714,0.05770407,1.182942597,-2.623941949
553882.8919,5645517.258,26.547,43025.63,0.667853438,30.63398235,16.49457786,54.62120368,33.61049649,55.79348424,50.40179961,0.882913425,0.796558379,0.872464714,0.04770407,1.212942597,-2.603941949
553882.931,5645517.204,26.547,43025.55,0.734522847,30.63398235,16.49457786,54.62120368,33.41049649,55.89348424,50.00179961,0.882913425,0.796558379,0.872464714,0.03770407,1.222942597,-2.593941949
553882.989,5645517.124,26.558,43025.47,0.833335802,30.63398235,16.39457786,54.72120368,33.41049649,56.09348424,50.00179961,0.882913425,0.786558379,0.882464714,0.03770407,1.222942597,-2.593941949
553883.0794,5645516.998,26.558,43025.39,0.988410494,30.53398235,16.29457786,54.82120368,33.21049649,56.19348424,49.80179961,0.882913425,0.786558379,0.882464714,0.02770407,1.212942597,-2.663941949
553883.1555,5645516.891,26.568,43025.32,1.119712474,30.43398235,16.19457786,55.02120368,33.11049649,56.39348424,49.90179961,0.882913425,0.796558379,0.882464714,0.02770407,1.212942597,-2.713941949
553883.2315,5645516.782,26.568,43025.25,1.252592119,30.13398235,16.19457786,55.12120368,33.11049649,56.59348424,50.00179961,0.882913425,0.796558379,0.882464714,0.03770407,1.212942597,-2.753941949
553883.3086,5645516.669,26.579,43025.18,1.389389085,29.83398235,16.19457786,54.82120368,33.01049649,56.89348424,49.90179961,0.882913425,0.796558379,0.872464714,0.03770407,1.212942597,-2.773941949
553883.3736,5645516.574,26.579,43025.12,1.504497729,29.43398235,16.09457786,54.22120368,33.01049649,56.89348424,49.70179961,0.882913425,0.796558379,0.872464714,0.03770407,1.212942597,-2.773941949
553883.4276,5645516.494,26.589,43025.07,1.601017157,29.13398235,15.89457786,53.72120368,32.81049649,56.89348424,49.70179961,0.882913425,0.796558379,0.872464714,0.03770407,1.222942597,-2.773941949
553883.482,5645516.412,26.589,43025.02,1.699421222,29.13398235,15.69457786,53.62120368,32.51049649,56.79348424,49.60179961,0.882913425,0.796558379,0.872464714,0.03770407,1.222942597,-2.763941949
553883.5709,5645516.279,26.599,43024.94,1.859396876,29.13398235,15.49457786,54.12120368,32.31049649,56.59348424,49.50179961,0.882913425,0.796558379,0.872464714,0.02770407,1.222942597,-2.743941949
553883.6284,5645516.191,26.607,43024.89,1.964517046,29.13398235,15.29457786,54.42120368,32.11049649,56.39348424,49.40179961,0.882913425,0.796558379,0.882464714,0.02770407,1.232942597,-2.733941949
553883.6759,5645516.119,26.607,43024.85,2.05077393,29.13398235,15.29457786,54.32120368,31.91049649,56.39348424,49.30179961,0.882913425,0.796558379,0.872464714,0.03770407,1.232942597,-2.723941949
553883.7124,5645516.063,26.607,43024.82,2.117618899,29.13398235,15.29457786,54.12120368,31.71049649,56.69348424,49.30179961,0.882913425,0.796558379,0.872464714,0.03770407,1.242942597,-2.723941949
553883.9454,5645515.702,26.626,43024.65,2.547281558,29.13398235,15.29457786,54.12120368,31.61049649,56.89348424,49.30179961,0.882913425,0.796558379,0.872464714,0.03770407,1.242942597,-2.733941949
553884.5491,5645514.764,26.6823217,43024.13,3.662762481,29.13398235,15.09457786,54.12120368,31.61049649,56.39348424,49.60179961,0.882913425,0.796558379,0.872464714,0.04770407,1.212942597,-2.653941949
553884.6291,5645514.642,26.6969528,43024.06,3.808652851,29.23398235,15.09457786,54.12120368,31.61049649,56.39348424,49.60179961,0.882913425,0.796558379,0.882464714,0.05770407,1.212942597,-2.653941949
553884.7876,5645514.401,26.7099808,43023.93,4.097102587,29.33398235,15.19457786,54.12120368,31.71049649,56.39348424,49.60179961,0.882913425,0.796558379,0.882464714,0.05770407,1.212942597,-2.653941949
553884.9258,5645514.193,26.7221288,43023.83,4.346828917,29.33398235,15.39457786,54.32120368,31.91049649,56.29348424,49.80179961,0.882913425,0.806558379,0.872464714,0.06770407,1.222942597,-2.633941949
553885.0522,5645514.003,26.7327968,43023.72,4.575032686,29.43398235,15.49457786,54.32120368,32.21049649,55.99348424,49.70179961,0.882913425,0.796558379,0.872464714,0.05770407,1.252942597,-2.613941949
553885.18,5645513.811,26.7413848,43023.62,4.805677087,29.63398235,15.69457786,54.12120368,32.61049649,55.69348424,49.60179961,0.882913425,0.796558379,0.872464714,0.05770407,1.272942597,-2.623941949
553885.3198,5645513.602,26.7468397,43023.52,5.057122986,29.73398235,15.89457786,53.62120368,32.81049649,55.39348424,49.40179961,0.882913425,0.796558379,0.872464714,0.03770407,1.252942597,-2.673941949
553885.4354,5645513.43,26.7499208,43023.42,5.264360434,29.73398235,16.09457786,53.42120368,32.91049649,54.99348424,49.00179961,0.882913425,0.796558379,0.872464714,0.02770407,1.242942597,-2.713941949
553885.5515,5645513.258,26.75,43023.32,5.471877204,29.73398235,16.19457786,53.22120368,32.91049649,54.69348424,48.80179961,0.882913425,0.796558379,0.872464714,0.02770407,1.242942597,-2.743941949
553885.6931,5645513.049,26.75,43023.22,5.724328309,29.63398235,16.09457786,53.12120368,32.81049649,54.59348424,48.80179961,0.882913425,0.796558379,0.872464714,0.02770407,1.262942597,-2.753941949
553885.8101,5645512.877,26.75,43023.12,5.932349942,29.53398235,15.99457786,53.12120368,32.61049649,54.69348424,48.60179961,0.882913425,0.796558379,0.872464714,0.03770407,1.272942597,-2.763941949
553885.9392,5645512.687,26.75,43023.03,6.162060216,29.43398235,16.09457786,53.12120368,32.31049649,54.99348424,48.30179961,0.882913425,0.796558379,0.872464714,0.03770407,1.252942597,-2.763941949
553886.0786,5645512.484,26.75,43022.92,6.408314881,29.23398235,15.99457786,53.12120368,31.91049649,55.49348424,48.00179961,0.882913425,0.786558379,0.882464714,0.02770407,1.202942597,-2.783941949
553886.197,5645512.311,26.75,43022.82,6.617951615,29.13398235,15.69457786,53.12120368,31.51049649,56.09348424,47.60179961,0.892913425,0.786558379,0.882464714,0.01770407,1.182942597,-2.823941949
553886.3384,5645512.106,26.75,43022.71,6.866987676,29.03398235,15.29457786,53.32120368,31.21049649,56.79348424,47.30179961,0.892913425,0.786558379,0.882464714,0.00770407,1.202942597,-2.853941949
553886.4777,5645511.905,26.75,43022.61,7.111539286,28.83398235,14.99457786,53.62120368,31.01049649,57.39348424,47.40179961,0.892913425,0.796558379,0.882464714,0.00770407,1.232942597,-2.883941949
553886.6207,5645511.7,26.75,43022.51,7.361487281,28.73398235,14.79457786,54.02120368,30.91049649,57.79348424,47.90179961,0.892913425,0.796558379,0.872464714,0.01770407,1.232942597,-2.893941949
553886.7123,5645511.569,26.75,43022.43,7.521335834,28.73398235,14.79457786,54.02120368,30.91049649,57.99348424,48.50179961,0.892913425,0.796558379,0.872464714,0.01770407,1.232942597,-2.883941949
553886.8387,5645511.389,26.75,43022.35,7.741283464,28.83398235,14.89457786,53.92120368,31.01049649,57.89348424,48.80179961,0.892913425,0.796558379,0.872464714,0.01770407,1.222942597,-2.873941949
553886.9744,5645511.197,26.7509457,43022.24,7.976397245,28.93398235,14.99457786,53.82120368,31.31049649,57.69348424,49.00179961,0.882913425,0.796558379,0.872464714,0.01770407,1.222942597,-2.863941949
553887.0913,5645511.032,26.7558968,43022.15,8.178611513,28.93398235,15.19457786,53.72120368,31.71049649,57.29348424,48.80179961,0.882913425,0.796558379,0.872464714,0.02770407,1.212942597,-2.853941949
553887.2019,5645510.877,26.7634848,43022.06,8.369025167,29.03398235,15.19457786,53.42120368,32.21049649,56.69348424,48.60179961,0.882913425,0.796558379,0.872464714,0.02770407,1.212942597,-2.813941949
553887.3722,5645510.638,26.7733928,43021.93,8.662492525,29.03398235,15.79457786,52.92120368,32.51049649,55.89348424,48.80179961,0.882913425,0.796558379,0.872464714,0.01770407,1.222942597,-2.783941949
553887.4955,5645510.466,26.7850208,43021.83,8.874121658,29.13398235,15.99457786,52.72120368,32.61049649,55.39348424,48.90179961,0.882913425,0.796558379,0.872464714,0.01770407,1.232942597,-2.793941949
553887.6328,5645510.275,26.7977688,43021.73,9.109349824,29.43398235,16.09457786,52.62120368,32.61049649,55.19348424,48.60179961,0.882913425,0.796558379,0.882464714,0.02770407,1.222942597,-2.823941949
553887.8006,5645510.042,26.8110368,43021.62,9.39648366,29.53398235,16.19457786,52.72120368,32.51049649,55.09348424,47.90179961,0.882913425,0.796558379,0.872464714,0.03770407,1.242942597,-2.813941949
553887.9129,5645509.886,26.8242248,43021.52,9.588700439,29.43398235,16.09457786,52.92120368,32.21049649,55.19348424,47.50179961,0.882913425,0.796558379,0.872464714,0.03770407,1.262942597,-2.783941949
553888.0765,5645509.659,26.8379231,43021.42,9.868511018,29.23398235,15.99457786,53.12120368,32.01049649,55.49348424,47.50179961,0.882913425,0.796558379,0.872464714,0.04770407,1.252942597,-2.743941949
553888.2031,5645509.483,26.8458464,43021.32,10.08531406,29.13398235,15.59457786,53.32120368,31.91049649,55.79348424,47.80179961,0.882913425,0.796558379,0.872464714,0.04770407,1.232942597,-2.733941949
553888.3544,5645509.273,26.854,43021.22,10.34414159,29.23398235,15.29457786,53.62120368,31.81049649,56.09348424,48.20179961,0.882913425,0.796558379,0.872464714,0.03770407,1.242942597,-2.733941949
553888.4551,5645509.133,26.865,43021.13,10.5165959,29.33398235,15.09457786,53.92120368,31.71049649,56.59348424,48.60179961,0.882913425,0.796558379,0.872464714,0.03770407,1.232942597,-2.733941949
553888.5848,5645508.952,26.875,43021.06,10.73926851,29.03398235,15.19457786,54.02120368,31.61049649,56.69348424,48.90179961,0.882913425,0.796558379,0.872464714,0.03770407,1.212942597,-2.753941949
553888.6483,5645508.864,26.875,43021.02,10.84778694,29.03398235,15.29457786,53.92120368,31.61049649,56.69348424,48.90179961,0.882913425,0.796558379,0.862464714,0.03770407,1.212942597,-2.753941949
553888.7237,5645508.759,26.885,43020.97,10.97705473,29.03398235,15.19457786,53.52120368,31.51049649,56.59348424,49.10179961,0.882913425,0.796558379,0.862464714,0.02770407,1.192942597,-2.763941949
553888.7671,5645508.698,26.885,43020.94,11.05191834,29.03398235,15.19457786,53.32120368,31.41049649,56.59348424,49.10179961,0.882913425,0.796558379,0.862464714,0.02770407,1.192942597,-2.763941949
553888.851,5645508.581,26.895,43020.88,11.19589129,29.03398235,15.19457786,53.42120368,31.41049649,56.49348424,49.00179961,0.882913425,0.796558379,0.862464714,0.03770407,1.202942597,-2.753941949
553888.986,5645508.393,26.906,43020.78,11.42734106,29.03398235,15.19457786,53.42120368,31.51049649,56.19348424,48.80179961,0.882913425,0.796558379,0.872464714,0.03770407,1.222942597,-2.733941949
553889.094,5645508.243,26.906,43020.7,11.61217613,28.93398235,15.29457786,53.12120368,31.61049649,55.69348424,49.10179961,0.882913425,0.796558379,0.872464714,0.05770407,1.242942597,-2.713941949
553889.2067,5645508.085,26.916,43020.62,11.8062516,28.93398235,15.49457786,52.72120368,31.51049649,55.89348424,49.20179961,0.882913425,0.796558379,0.872464714,0.06770407,1.242942597,-2.663941949
553889.32,5645507.927,26.925,43020.54,12.00067611,29.03398235,15.59457786,52.62120368,31.61049649,55.99348424,49.30179961,0.882913425,0.796558379,0.872464714,0.05770407,1.252942597,-2.623941949
553889.4003,5645507.815,26.925,43020.47,12.1384879,29.03398235,15.59457786,52.82120368,31.61049649,55.89348424,49.30179961,0.882913425,0.796558379,0.872464714,0.05770407,1.232942597,-2.623941949
553890.0066,5645506.967,26.9719241,43020.05,13.18093871,29.13398235,15.69457786,53.02120368,32.11049649,54.69348424,49.10179961,0.882913425,0.796558379,0.872464714,0.03770407,1.242942597,-2.703941949
553890.1718,5645506.736,26.9849711,43019.93,13.46493174,29.03398235,15.59457786,53.02120368,32.31049649,54.09348424,48.80179961,0.882913425,0.806558379,0.872464714,0.03770407,1.242942597,-2.723941949
553890.3138,5645506.537,26.9996,43019.82,13.70940055,29.13398235,15.69457786,52.92120368,32.41049649,54.09348424,48.80179961,0.882913425,0.796558379,0.872464714,0.03770407,1.242942597,-2.723941949
553890.4724,5645506.315,27.0125,43019.72,13.98223376,29.23398235,15.79457786,52.62120368,32.41049649,54.09348424,48.80179961,0.882913425,0.796558379,0.862464714,0.02770407,1.242942597,-2.723941949
553890.6032,5645506.131,27.0244,43019.62,14.20798725,29.13398235,15.79457786,52.32120368,32.31049649,53.79348424,48.30179961,0.882913425,0.796558379,0.872464714,0.02770407,1.252942597,-2.733941949
553890.7684,5645505.899,27.0327968,43019.52,14.49279428,28.83398235,15.79457786,51.92120368,31.91049649,53.69348424,47.50179961,0.882913425,0.796558379,0.872464714,0.02770407,1.262942597,-2.753941949
553890.9185,5645505.689,27.0458375,43019.42,14.75092217,28.43398235,15.39457786,51.52120368,31.41049649,53.89348424,46.40179961,0.892913425,0.796558379,0.882464714,0.02770407,1.252942597,-2.773941949
553891.0477,5645505.507,27.0458375,43019.32,14.97411859,28.13398235,15.19457786,51.22120368,30.81049649,54.19348424,45.50179961,0.892913425,0.796558379,0.882464714,0.02770407,1.242942597,-2.773941949
553891.1784,5645505.324,27.0493016,43019.22,15.19899965,27.73398235,15.19457786,51.02120368,30.11049649,54.39348424,44.90179961,0.892913425,0.796558379,0.882464714,0.01770407,1.222942597,-2.783941949
553891.3343,5645505.104,27.05,43019.11,15.46863794,27.23398235,14.49457786,50.72120368,29.31049649,54.89348424,44.30179961,0.892913425,0.796558379,0.882464714,0.00770407,1.222942597,-2.803941949
553891.4475,5645504.945,27.05,43019.04,15.66381796,26.83398235,13.99457786,50.42120368,28.31049649,55.89348424,43.70179961,0.892913425,0.796558379,0.872464714,0.00770407,1.232942597,-2.853941949
553891.553,5645504.797,27.05,43018.96,15.84557123,26.83398235,13.99457786,50.22120368,27.21049649,57.39348424,43.40179961,0.892913425,0.796558379,0.872464714,0.00770407,1.252942597,-2.893941949
553891.713,5645504.572,27.05,43018.85,16.12165998,25.93398235,13.39457786,50.42120368,26.31049649,58.89348424,43.50179961,0.892913425,0.796558379,0.872464714,0.00770407,1.262942597,-2.903941949
553891.8752,5645504.344,27.05,43018.75,16.40146856,25.63398235,12.89457786,50.92120368,25.61049649,59.99348424,43.90179961,0.892913425,0.796558379,0.872464714,0.00770407,1.262942597,-2.913941949
553892.0249,5645504.133,27.05,43018.65,16.66017899,25.63398235,12.39457786,51.42120368,25.51049649,60.59348424,44.50179961,0.892913425,0.796558379,0.872464714,0.01770407,1.252942597,-2.923941949
553892.1876,5645503.904,27.05,43018.55,16.94109231,25.73398235,11.89457786,51.72120368,25.81049649,60.79348424,45.10179961,0.892913425,0.796558379,0.872464714,0.01770407,1.252942597,-2.923941949
553892.3445,5645503.682,27.05,43018.44,17.21294081,26.13398235,12.19457786,51.82120368,26.61049649,60.59348424,46.00179961,0.882913425,0.806558379,0.872464714,0.02770407,1.232942597,-2.903941949
553892.4771,5645503.495,27.05,43018.34,17.44218252,26.33398235,12.59457786,51.82120368,27.41049649,60.59348424,47.00179961,0.882913425,0.806558379,0.872464714,0.04770407,1.232942597,-2.853941949
553892.6184,5645503.295,27.05,43018.25,17.68706145,26.53398235,12.59457786,51.82120368,28.21049649,60.09348424,47.60179961,0.882913425,0.806558379,0.862464714,0.05770407,1.242942597,-2.793941949
553892.7816,5645503.065,27.0515471,43018.14,17.9690796,26.93398235,13.29457786,51.82120368,28.81049649,59.19348424,47.80179961,0.882913425,0.806558379,0.862464714,0.05770407,1.252942597,-2.723941949
553892.9087,5645502.884,27.0515471,43018.05,18.19024789,26.93398235,13.29457786,52.12120368,29.31049649,58.29348424,48.00179961,0.882913425,0.806558379,0.862464714,0.05770407,1.262942597,-2.653941949
553893.1387,5645502.558,27.0643811,43017.91,18.58921656,27.93398235,13.69457786,52.82120368,29.61049649,58.19348424,48.60179961,0.882913425,0.806558379,0.862464714,0.04770407,1.242942597,-2.653941949
553893.2975,5645502.333,27.0744881,43017.81,18.86461162,28.33398235,13.79457786,53.72120368,29.71049649,59.19348424,49.30179961,0.882913425,0.796558379,0.872464714,0.04770407,1.232942597,-2.703941949
553893.4372,5645502.134,27.0825864,43017.71,19.10775168,28.73398235,13.89457786,54.52120368,29.81049649,59.99348424,50.20179961,0.882913425,0.796558379,0.882464714,0.03770407,1.232942597,-2.753941949
553893.5987,5645501.905,27.0951584,43017.6,19.38797169,29.13398235,14.09457786,55.32120368,30.31049649,59.99348424,50.20179961,0.882913425,0.796558379,0.882464714,0.04770407,1.232942597,-2.753941949
553893.7355,5645501.71,27.1097037,43017.5,19.62617169,29.63398235,14.39457786,56.12120368,31.21049649,60.29348424,51.20179961,0.882913425,0.806558379,0.882464714,0.04770407,1.242942597,-2.753941949
553893.8847,5645501.498,27.1229267,43017.4,19.88541026,30.13398235,14.89457786,56.42120368,32.41049649,59.99348424,52.10179961,0.882913425,0.806558379,0.872464714,0.04770407,1.272942597,-2.723941949
553894.0295,5645501.292,27.1343144,43017.32,20.13720987,30.43398235,15.59457786,56.42120368,33.51049649,59.29348424,52.80179961,0.882913425,0.806558379,0.862464714,0.04770407,1.282942597,-2.673941949
553894.1225,5645501.159,27.1447625,43017.25,20.29949973,30.73398235,15.59457786,56.22120368,34.31049649,58.49348424,53.20179961,0.882913425,0.806558379,0.862464714,0.04770407,1.292942597,-2.653941949
553894.284,5645500.929,27.1563384,43017.15,20.58053754,31.13398235,16.99457786,56.12120368,34.81049649,57.49348424,53.50179961,0.882913425,0.806558379,0.862464714,0.04770407,1.292942597,-2.663941949
553894.4111,5645500.748,27.1693987,43017.06,20.80170582,31.13398235,16.99457786,56.12120368,35.21049649,56.59348424,53.80179961,0.882913425,0.806558379,0.862464714,0.03770407,1.282942597,-2.693941949
553894.6289,5645500.438,27.1956247,43016.93,21.18056839,31.83398235,17.19457786,56.52120368,35.51049649,55.79348424,54.20179961,0.882913425,0.796558379,0.862464714,0.02770407,1.242942597,-2.783941949
553894.7642,5645500.245,27.1956247,43016.83,21.41626966,32.03398235,17.09457786,56.92120368,35.81049649,55.69348424,54.20179961,0.882913425,0.806558379,0.862464714,0.02770407,1.222942597,-2.783941949
553894.8952,5645500.059,27.2087077,43016.73,21.64377131,32.13398235,17.09457786,56.92120368,35.91049649,55.69348424,53.70179961,0.882913425,0.806558379,0.862464714,0.02770407,1.222942597,-2.813941949
553895.0399,5645499.853,27.2221288,43016.63,21.89551342,32.13398235,17.19457786,56.62120368,36.01049649,55.79348424,53.20179961,0.882913425,0.806558379,0.862464714,0.02770407,1.212942597,-2.813941949
553895.1981,5645499.628,27.2327968,43016.52,22.17056294,31.73398235,17.19457786,56.12120368,35.81049649,55.69348424,52.50179961,0.882913425,0.806558379,0.862464714,0.02770407,1.232942597,-2.783941949
553895.3706,5645499.383,27.2472928,43016.42,22.47019813,31.33398235,17.19457786,55.42120368,35.51049649,55.29348424,51.90179961,0.892913425,0.796558379,0.872464714,0.02770407,1.232942597,-2.753941949
553895.5158,5645499.178,27.2496864,43016.32,22.72141127,30.83398235,16.99457786,54.92120368,35.01049649,54.79348424,51.20179961,0.892913425,0.796558379,0.872464714,0.01770407,1.242942597,-2.773941949
553895.6743,5645498.954,27.25,43016.22,22.99581654,30.23398235,16.79457786,54.52120368,34.41049649,54.39348424,50.30179961,0.892913425,0.796558379,0.872464714,0.01770407,1.262942597,-2.843941949
553895.7995,5645498.778,27.25,43016.12,23.21180505,29.63398235,16.49457786,53.82120368,33.81049649,54.19348424,49.10179961,0.882913425,0.796558379,0.872464714,0.02770407,1.262942597,-2.893941949
553895.918,5645498.611,27.25,43016.03,23.41657627,29.03398235,16.19457786,52.52120368,33.01049649,53.99348424,47.40179961,0.882913425,0.806558379,0.872464714,0.02770407,1.252942597,-2.863941949
553896.1026,5645498.351,27.25,43015.91,23.73544483,28.23398235,15.79457786,51.12120368,31.91049649,53.89348424,45.80179961,0.882913425,0.806558379,0.872464714,0.03770407,1.262942597,-2.813941949
553896.2321,5645498.169,27.25,43015.81,23.95881504,27.23398235,15.19457786,50.22120368,30.61049649,53.89348424,44.80179961,0.882913425,0.806558379,0.882464714,0.03770407,1.282942597,-2.803941949
553896.3752,5645497.967,27.25,43015.71,24.20636627,26.43398235,14.59457786,49.72120368,29.21049649,53.99348424,44.00179961,0.882913425,0.796558379,0.882464714,0.03770407,1.292942597,-2.793941949
553896.5214,5645497.761,27.25,43015.61,24.45897355,25.83398235,14.09457786,49.02120368,28.11049649,54.09348424,43.20179961,0.892913425,0.796558379,0.882464714,0.03770407,1.292942597,-2.773941949
553896.6304,5645497.607,27.25,43015.54,24.64764522,25.33398235,14.09457786,48.02120368,27.41049649,54.19348424,42.10179961,0.892913425,0.796558379,0.892464714,0.03770407,1.272942597,-2.763941949
553896.7851,5645497.388,27.25,43015.44,24.91577409,24.83398235,13.69457786,47.12120368,26.91049649,53.89348424,40.90179961,0.892913425,0.796558379,0.892464714,0.01770407,1.252942597,-2.783941949
553896.9253,5645497.188,27.25,43015.33,25.16001995,24.43395471,13.49457786,46.22120368,26.41049649,53.29348424,39.90179961,0.892913708,0.796558379,0.882464714,0.00770407,1.262942597,-2.813941949
553897.0511,5645497.008,27.2528,43015.23,25.37962332,23.93393959,13.49457786,45.12094992,25.71047681,52.4934667,39.0016747,0.882913708,0.796558379,0.88246527,-0.002296388,1.282934321,-2.863958048
553897.204,5645496.789,27.2528,43015.14,25.6467177,23.23393959,13.39451783,43.92069058,24.9104646,51.89339852,38.10136823,0.882913708,0.786558303,0.882465871,-0.002296649,1.282902723,-2.903997398
553897.3075,5645496.64,27.2604,43015.05,25.8281378,22.33393959,13.39451783,42.82055572,24.2104646,51.39337666,36.90136823,0.882913708,0.786558303,0.88246614,0.007703351,1.272891396,-2.933997398
553897.4799,5645496.391,27.2716,43014.94,26.13099545,21.43393959,12.79451783,42.02055572,23.4104646,50.99337666,35.70136823,0.882913708,0.796558303,0.88246614,0.017703351,1.262891396,-2.913997398
553897.6247,5645496.181,27.2852,43014.83,26.38607787,20.73393959,11.09451783,41.22055572,22.3104646,50.59337666,34.70136823,0.892913708,0.796558303,0.88246614,0.027703351,1.262891396,-2.863997398
553897.7491,5645496,27.3,43014.73,26.60570565,20.13393959,10.49451783,40.32055572,21.0104646,50.19337666,33.80136823,0.882913708,0.796558303,0.88246614,0.037703351,1.262891396,-2.773997398
